Data;Estabelecimento;Valor;Parcela
01/08/2025;COME HERE;-66,00 ;-
03/07/2025;EDITORA SOL;-202,50 ;2 de 2
05/08/2025;Pagamento Conta;-425,00 ; de 1
05/08/2025;IOF Pagamento Conta;-2,57 ; de 1
05/08/2025;Juros Pagamento Conta;-11,49 ; de 1
05/08/2025;COLEGIO OBJETIVO;-2.179,70 ;-
05/08/2025;RAIA2751;-73,72 ;-
07/04/2025;MP*35197353JEANDAVISDELIM;-73,73 ;5 de 11
07/04/2025;MP*ALIEXPRESS;-90,06 ;5 de 5
07/08/2025;G K L CABELEIREIR;-125,00 ;-
07/08/2025;UBER * PENDING;-37,11 ;-
07/08/2025;UBER* PENDING;-28,20 ;-
08/08/2025;COME HERE;-36,30 ;-
08/08/2025;PETROL STATION;-250,04 ;-
12/08/2025;NORD RESEARCH;-18,00 ;1 de 12
12/08/2025;CLARO P*FATURA CLARO;-197,82 ;-
13/12/2024;MP*6PRODUTOS;-27,61 ;9 de 12
21/08/2025;Encargos de Refinanciamento;-76,83 ; de 1
21/08/2025;Multa Contratual;-97,15 ; de 1
21/08/2025;Juros de Mora;-8,10 ; de 1
21/08/2025;IOF Rotativo;-20,45 ; de 1
23/07/2025;DL *ALIPAY ALIPAY BRAS;-58,03 ;2 de 4
23/07/2025;MP*ALIEXPRESS;-43,75 ;2 de 5
26/07/2025;LIVELO*CLUBE LIVELO;-44,90 ;-
27/07/2025;CULTS3D.COM 3D MODELS;-0,69 ;-
27/07/2025;CULTS3D.COM 3D MODELS;-19,80 ;-
29/04/2025;CENTRO AUTOMOTIVO ELET;-500,00 ;4 de 5
30/07/2025;DELIVERY ROUXINOL;-298,00 ;-
31/07/2025;FOGO MORUMBI;-173,26 ;-
31/07/2025;ESTAC SHOPPING;-29,00 ;-
