Data;Estabelecimento;Valor;Parcela
03/07/2025;AURUM ADMINISTRACAO E;-250;-
03/07/2025;COLEGIO OBJETIVO;-130;-
03/07/2025;COLEGIO OBJETIVO;-2.179,70;-
03/07/2025;EDITORA SOL;-202,5;1 de 2
05/07/2025;ANHEMBI;-80;-
05/07/2025;MERCADOPAGO*CHESTOFWONDER;-44;-
07/04/2025;MP*ALIEXPRESS;-90,06;4 de 5
07/04/2025;MP*35197353JEANDAVISDELIM;-73,73;4 de 11
08/07/2025;NET PGT*FATURA CLARO;-113,95;-
08/07/2025;IOF Pagamento Conta;-2,54; de 1
08/07/2025;Juros Pagamento Conta;-10,52; de 1
08/07/2025;Pagamento Conta;-438,59; de 1
10/07/2025;TUTTO DI NAPOLI BAR E;-99,22;-
12/08/2024;NORD RESEARCH;-18;12 de 12
13/12/2024;MP*6PRODUTOS;-27,61;8 de 12
14/07/2025;UBER* PENDING;-25,94;-
14/07/2025;UBER * PENDING;-17,97;-
14/07/2025;CLARO P*FATURA CLARO;-201,9;-
22/07/2025;FC2 RESTAURANTE LTDA;-191,14;-
22/07/2025;2 CARTOES 1IT8XR;-13,34;-
23/07/2025;DL *ALIPAY ALIPAY BRAS;-58,05;1 de 4
23/07/2025;MP*ALIEXPRESS;-43,78;1 de 5
26/06/2025;LIVELO*CLUBE LIVELO;-44,9;-
29/04/2025;CENTRO AUTOMOTIVO ELET;-500;3 de 5
